elapsed,success,timeStamp,anomalia
1174,1,1776,1
1188,1,1776,1
1116,1,1776,1
1435,1,1776,-1
1227,1,1776,1
1164,1,1776,1
1242,1,1776,1
1199,1,1776,1
1305,1,1776,1
1116,1,1776,1
1150,1,1776,1
1159,1,1776,1
1191,1,1776,1
1255,1,1776,1
1173,1,1776,1
1083,1,1776,1
1277,1,1776,1
1240,1,1776,1
1176,1,1776,1
1204,1,1776,1
1201,1,1776,1
1218,1,1776,1
1187,1,1776,1
1188,1,1776,1
1227,1,1776,1
1167,1,1776,1
1100,1,1776,1
1144,1,1776,1
1153,1,1776,1
1206,1,1776,1
1180,1,1776,1
1136,1,1776,1
1132,1,1776,1
1284,1,1776,1
1138,1,1776,1
1185,1,1776,1
1169,1,1776,1
1166,1,1776,1
1155,1,1776,1
1202,1,1776,1
1126,1,1776,1
1050,1,1776,1
950,1,1776,-1
1137,1,1776,1
1126,1,1776,1
1199,1,1776,1
1228,1,1776,1
1190,1,1776,1
1250,1,1776,1
935,1,1776,-1
