elapsed,success,timeStamp
1174,True,1776299039968
1188,True,1776299039969
1116,True,1776299039970
1435,True,1776299039971
2209,True,1776299039972
1164,True,1776299039973
13068,False,1776299039974
1199,True,1776299039975
1305,True,1776299039976
2670,False,1776299039977
2045,True,1776299039978
2159,True,1776299039979
2743,False,1776299039980
1255,True,1776299039981
1173,False,1776299039982
2186,True,1776299039983
1981,True,1776299039984
7818,False,1776299039985
2246,True,1776299039986
2455,True,1776299039987
1201,True,1776299039988
1218,True,1776299039989
2164,True,1776299039990
1188,True,1776299039991
1227,True,1776299039992
1167,False,1776299039993
2596,True,1776299039994
2284,True,1776299039995
1153,True,1776299039996
2324,True,1776299039997
2882,True,1776299039998
2033,True,1776299039999
2020,True,1776299040000
1284,True,1776299040001
12506,False,1776299040002
1185,True,1776299040003
1971,True,1776299040004
1166,True,1776299040005
1155,True,1776299040006
1202,True,1776299040007
9126,False,1776299040008
1050,True,1776299040009
2348,False,1776299040010
11967,False,1776299040011
1126,True,1776299040012
2203,True,1776299040013
1228,True,1776299040014
1190,True,1776299040015
1250,False,1776299040016
935,True,1776299040017
1174,True,1776299040018
2081,True,1776299040019
1116,True,1776299040020
1435,True,1776299040021
1227,True,1776299040022
1874,False,1776299040023
2865,True,1776299040024
1199,True,1776299040025
1305,True,1776299040026
1116,True,1776299040027
1150,True,1776299040028
1159,False,1776299040029
1191,True,1776299040030
1255,True,1776299040031
1948,True,1776299040032
2385,True,1776299040033
1277,True,1776299040034
1240,True,1776299040035
2714,True,1776299040036
2188,True,1776299040037
1201,True,1776299040038
1218,True,1776299040039
1187,True,1776299040040
6181,False,1776299040041
12764,False,1776299040042
8720,False,1776299040043
1734,True,1776299040044
12350,False,1776299040045
1993,True,1776299040046
1206,True,1776299040047
1180,False,1776299040048
1136,True,1776299040049
2415,True,1776299040050
1284,True,1776299040051
1138,True,1776299040052
2499,False,1776299040053
11289,False,1776299040054
1166,True,1776299040055
1155,True,1776299040056
1202,True,1776299040057
6774,False,1776299040058
1050,True,1776299040059
950,True,1776299040060
1137,True,1776299040061
1126,True,1776299040062
1199,True,1776299040063
1228,True,1776299040064
1190,True,1776299040065
1250,True,1776299040066
935,True,1776299040067
1174,True,1776299040068
1188,True,1776299040069
1116,False,1776299040070
1435,True,1776299040071
2940,True,1776299040072
1164,True,1776299040073
1242,False,1776299040074
1199,True,1776299040075
2247,False,1776299040076
1116,False,1776299040077
2727,True,1776299040078
13774,False,1776299040079
1191,False,1776299040080
7820,False,1776299040081
1173,True,1776299040082
1083,True,1776299040083
1277,False,1776299040084
1240,True,1776299040085
2652,False,1776299040086
14905,False,1776299040087
1201,False,1776299040088
13034,False,1776299040089
1187,True,1776299040090
1188,True,1776299040091
1227,False,1776299040092
1167,True,1776299040093
1100,False,1776299040094
2651,True,1776299040095
1737,True,1776299040096
1206,True,1776299040097
1180,True,1776299040098
2284,True,1776299040099
1956,True,1776299040100
1284,True,1776299040101
1138,True,1776299040102
1185,False,1776299040103
1169,True,1776299040104
1166,True,1776299040105
1155,False,1776299040106
1202,True,1776299040107
1126,True,1776299040108
2551,True,1776299040109
1460,True,1776299040110
1841,False,1776299040111
1126,True,1776299040112
2298,False,1776299040113
3023,True,1776299040114
1190,True,1776299040115
1250,True,1776299040116
935,False,1776299040117
